outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr
case,Aug-22,202233,50-64,all_types,32859,19801786,17147,15251258,24972,6275309.700000002,165.9395774,112.4300697,397.9405192,2.398104934,3.53944919
case,Aug-22,202233,65+,all_types,39491,23611575,12244,10007485,19839,2826254.9,167.252714,122.3484222,701.9536702,4.196964303,5.737333245
case,Aug-22,202233,all_ages,all_types,122442,74165946,83695,76518086,161930,52827036.8,165.0919413,109.3793695,306.5286448,1.856714764,2.802435654
case,Aug-22,202234,11-May,all_types,615,781465,4779,5069188,21407,13204749,78.69834222,94.27545398,162.1159175,2.059966106,1.719598376
case,Aug-22,202234,17-Dec,all_types,3245,3091974,7720,7298000,18441,6279114,104.9491361,105.7824061,293.6879311,2.798383504,2.776340054
case,Aug-22,202234,18-49,all_types,43361,27034464,40262,38812541,72239,24159066.2,160.3915654,103.734512,299.0140405,1.864275343,2.882493346
case,Aug-22,202234,50-64,all_types,30605,19846763,15909,15220648,22566,6264977.700000002,154.2065071,104.5224881,360.1928224,2.335782251,3.446079679
case,Aug-22,202234,65+,all_types,37167,23653781,11601,9979182,17675,2820447.9,157.1292133,116.2520134,626.6735152,3.988268649,5.39064655
case,Aug-22,202234,all_ages,all_types,114993,74408447,80271,76379559,152328,52728354.8,154.5429378,105.0948723,288.8920024,1.869331633,2.748868675
case,Aug-22,202235,11-May,all_types,568,824427,3453,5052542,14348,13182293,68.89633649,68.34183664,108.842976,1.57980789,1.592625854
case,Aug-22,202235,17-Dec,all_types,3001,3119022,6728,7280907,14816,6269736,96.21605747,92.40606974,236.3097904,2.456032773,2.557297276
case,Aug-22,202235,18-49,all_types,38413,27097644,34262,38784169,62240,24120297.2,141.7577115,88.34016787,258.0399382,1.820288544,2.920980846
case,Aug-22,202235,50-64,all_types,26645,19885296,13714,15194514,19380,6257203.700000002,133.9934794,90.2562596,309.7230157,2.311478268,3.431595959
case,Aug-22,202235,65+,all_types,34027,23690350,10362,9954329,15953,2816945.9,143.6323229,104.0954142,566.3225552,3.942862887,5.440417907
case,Aug-22,202235,all_ages,all_types,102654,74616739,68519,76266461,126737,52646475.8,137.5750286,89.84158843,240.7321631,1.749824555,2.679518109
case,Sep-22,202236,11-May,all_types,413,862466,2489,5039649,9195,13166571,47.88594565,49.38836018,69.83595045,1.458380941,1.414016384
case,Sep-22,202236,17-Dec,all_types,2157,3141148,4309,7268103,8742,6263904,68.66916172,59.28644655,139.5615258,2.032375558,2.354020758
case,Sep-22,202236,18-49,all_types,32318,27151870,27230,38762447,47485,24092043.2,119.0267926,70.24840305,197.0982685,1.655915145,2.805733084
case,Sep-22,202236,50-64,all_types,22817,19917970,11026,15172578,15553,6252119.700000002,114.5548467,72.67057714,248.7636313,2.17156793,3.423168511
case,Sep-22,202236,65+,all_types,30221,23719779,8784,9934372,13798,2813714.9,127.4084383,88.42028464,490.3837272,3.848910901,5.546054609
case,Sep-22,202236,all_ages,all_types,87926,74793233,53838,76177149,94773,52588352.8,117.5587636,70.67473738,180.2167114,1.532992572,2.549945257
case,Sep-22,202237,11-May,all_types,503,893769,2742,5030890,8984,13149310,56.27852387,54.50327874,68.32297664,1.21401508,1.253557184
case,Sep-22,202237,17-Dec,all_types,2306,3156889,4138,7260515,7895,6256861,73.04659746,56.99320227,126.181483,1.727410823,2.213974263
case,Sep-22,202237,18-49,all_types,30045,27192172,23507,38751715,41866,24055972.2,110.4913576,60.66054109,174.0357848,1.57510767,2.869011414
case,Sep-22,202237,50-64,all_types,21999,19941671,9987,15157481,14123,6244320.700000002,110.3167332,65.88825676,226.1735212,2.050219532,3.432683338
case,Sep-22,202237,65+,all_types,28889,23740649,8027,9920732,12770,2807516.9,121.6858056,80.91136823,454.8503341,3.737907899,5.621587473
case,Sep-22,202237,all_ages,all_types,83742,74925150,48401,76121333,85638,52513980.8,111.767544,63.58401527,163.0765726,1.459069124,2.564741655
case,Sep-22,202238,11-May,all_types,385,912333,2194,5028819,7004,13135626,42.19950391,43.62853386,53.32064113,1.263537155,1.222150653
case,Sep-22,202238,17-Dec,all_types,1993,3163598,3544,7259298,6858,6251173,62.99789038,48.82014762,109.7074101,1.741445776,2.247174895
case,Sep-22,202238,18-49,all_types,26808,27233137,20178,38733909,36822,24023584.2,98.43889817,52.09389014,153.2743811,1.557050962,2.942271746
case,Sep-22,202238,50-64,all_types,20198,19962589,8784,15140957,13660,6236764.700000002,101.1792609,58.01482694,219.0238153,2.164710569,3.775307571
case,Sep-22,202238,65+,all_types,27338,23763939,7105,9901182,12407,2800089.9,115.0398509,71.75910917,443.0929164,3.851647171,6.174727105
case,Sep-22,202238,all_ages,all_types,76722,75035596,41805,76064165,76751,52447237.8,102.247472,54.96017737,146.3394513,1.431228063,2.662645178
